"Latitude","Longitude","Site","meanSize","sdSize","logMeanSize"
21.9304,-159.6595,"KAU-12",2.90774907749078,6.85854258542323,1.06737926897818
19.424,-154.8806,"HAW-08",3.02028397565923,7.30878149290727,1.10535085864132
21.03055,-156.589983,"MAI-12",3.07816091954023,4.95773438684879,1.12433231460249
21.8689,-159.4472,"KAU-05",3.08695652173913,8.00043635750605,1.12718566111217
21.007433,-156.667717,"MAI-07",3.15367965367965,4.6770053512378,1.14856991511347
20.78,-156.8203,"LAN-04",3.23076923076923,8.55968436049636,1.17272026082183
22.0216,-160.0939,"LEH-02",3.3680981595092,3.344346722852,1.21434824070277
22.0165,-160.0914,"LEH-01",3.47953216374269,3.72175845501776,1.24689784904297
18.939,-155.6884,"HAW-14",3.55099337748344,8.12116359172197,1.26722738898693
20.655417,-156.4449,"MAI-06",3.5625,5.52332195769833,1.27046254559477
19.394,-154.9274,"HAW-09",3.62931034482759,7.88063567042252,1.28904264257602
21.1699,-156.8784,"MOL-07",3.63432835820896,6.93203068082808,1.29042432313168
19.29970773,-155.0840717,"HAW-28",3.95628415300546,3.95416755609453,1.3753052395443
21.5912,-158.2095,"OAH-03",3.97446808510638,7.60112643713373,1.37989092408468
27.785467,-175.82375,"PHR_R33",4,1.65895652508942,1.38629436111989
21.442697,-157.787061,"I",4.08326463314097,17.8476452457607,1.40689682364419
19.2533,-155.197,"HAW-10",4.12037037037037,6.66182474335909,1.41594305504202
22.23061443,-159.405432,"KAU-03",4.18292682926829,3.49648164881583,1.43101119990169
20.24713713,-155.7766393,"HAW-21",4.2046204620462,5.33491359667153,1.43618403062274
19.2672,-155.2554,"HAW-11",4.24501992031873,7.05564743861579,1.44574651240689
19.999,-155.2494,"HAW-29",4.34838709677419,9.05402236659043,1.46980499399306
22.2265,-159.5646,"KAU-13",4.41176470588235,11.438839924727,1.48427476948009
20.26707508,-155.8476048,"HAW-32",4.43014705882353,3.98737527728582,1.48843277962876
21.1249,-157.3032,"MOL-02",4.51260504201681,6.69378239032878,1.50687460139734
20.91415146,-156.2142809,"MAI-19",4.51682692307692,4.16811829825947,1.5078097391522
20.745567,-155.981317,"MAI-13",4.52230483271375,5.3836486596122,1.50902178262174
20.863133,-156.151317,"MAI-02",4.67532467532468,8.81432289900127,1.54229860959647
21.18365,-156.9245,"MOL-06",4.79230769230769,4.31965277069813,1.56701206833187
21.45151301,-158.2050134,"OAH-17",4.83221476510067,3.15029531984113,1.57530490606464
21.443567,-157.789117,"J",4.86340640809444,20.7273947170203,1.58173909940711
20.19257446,-155.7033439,"HAW-20",5,5.16806160562098,1.6094379124341
27.772788,-175.939602,"PHR_31",5,NA,1.6094379124341
28.27393,-177.3508,"MID_r23_21",5,NA,1.6094379124341
20.98681343,-156.5269317,"MAI-10",5.02142857142857,5.24183810217337,1.61371446920136
19.006233,-155.7963,"HAW-23",5.10460251046025,13.2198606920792,1.63014258579579
21.170467,-156.843733,"MOL-08",5.33333333333333,3.57141709694083,1.67397643357167
22.1669,-159.6802,"KAU-08",5.3416149068323,5.85139469492329,1.67552802426309
22.1377,-159.7613,"KAU-15",5.47712418300654,6.97465804417402,1.70058017908965
22.16684307,-159.6800101,"KAU-08",5.5327868852459,3.45498663744891,1.71069164613927
18.968567,-155.73085,"HAW-22",5.54185692541857,11.6437921107045,1.71232962969082
21.18619108,-157.2533507,"MOL-05",5.62408759124088,4.1722443349874,1.72705872893205
27.78578,-175.82842,"PHR_40101",5.70212765957447,5.12841569576474,1.7408393788008
20.832,-156.6481,"MAI-08",5.85930408472012,10.9554134452969,1.76803083966307
21.87514286,-160.122432,"NII-02",5.89473684210526,4.12168704459318,1.77405989212865
21.95202026,-160.062603,"NII-01",5.92198581560284,4.11415562048265,1.77867183447269
20.0582,-155.3661,"HAW-30",5.95327102803738,9.12659216681885,1.78394082111026
22.22113073,-159.5916966,"KAU-07",5.96969696969697,5.93752258075972,1.78669616727151
20.74554898,-155.9812924,"MAI-13",5.99002493765586,6.01995849233004,1.79009557533336
20.65965434,-156.0411189,"MAI-14",6.00519480519481,5.02959719497724,1.79262489550448
21.4378,-157.790319,"D",6.13782991202346,20.1081161421088,1.81447124516248
20.7623,-155.9798,"MAI-01",6.18930041152263,10.3467350583678,1.82282206116924
21.00742822,-156.6677906,"MAI-07",6.2034632034632,5.57513741333807,1.82510771730638
21.99038029,-160.124829,"NII-04",6.23529411764706,4.58133020850581,1.83022575005585
